STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72539014836,2010-01-01,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  21.3,24,  13.3,24,1019.9,23,986.6,24,  9.0,24,  9.5,24, 14.0, 20.0,  34.0, ,  19.0, , 0.01,G,  3.1,001000
72539014836,2010-01-02,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  12.5,24,   3.0,24,1025.3,24,991.9,24,  9.9,24,  7.5,24, 14.0, 17.1,  23.0, ,   8.1, , 0.00,G,  2.0,001000
72539014836,2010-01-03,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  11.2,24,   2.7,24,1026.4,22,992.8,24,  9.9,24,  8.8,24, 18.1, 22.0,  21.9, ,   3.9, , 0.00,G,  2.0,001000
72539014836,2010-01-04,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  21.5,24,  14.8,24,1020.6,22,987.5,24,  6.8,24,  9.4,24, 13.0, 19.0,  26.1,*,  19.4,*, 0.01,G,  3.1,001000
72539014836,2010-01-05,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  24.7,24,  19.5,24,1018.1,16,985.2,24,  7.9,24,  7.4,24, 12.0, 18.1,  28.4,*,  23.0,*, 0.01,G,  3.1,011000
72539014836,2010-01-06,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  26.6,24,  20.8,24,1019.0,21,986.0,24,  9.1,24,  7.6,24, 11.1, 15.0,  28.4,*,  25.0,*, 0.02,G,  3.1,011000
72539014836,2010-01-07,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  24.2,24,  19.7,24,1018.9,13,984.7,24,  5.1,24,  2.6,24,  6.0,999.9,  27.0, ,  21.0, , 0.00,G,  5.1,111000
72539014836,2010-01-08,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  20.7,24,  15.9,24,1019.5,15,984.6,24,  4.8,24,  6.7,24, 13.0, 18.1,  25.0, ,  18.0, , 0.32,G,  7.1,001000
72539014836,2010-01-09,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  14.5,24,   7.9,24,1029.4,24,995.8,24,  9.9,24,  4.1,24,  8.0,999.9,  23.0, ,   8.1, , 0.07,G,  7.1,001000
72539014836,2010-01-10,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  15.3,24,   8.3,24,1029.4,21,996.0,24, 10.0,24,  7.3,24, 15.0, 20.0,  24.1, ,   3.9, , 0.01,G,  7.1,000000
72539014836,2010-01-11,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  17.2,24,   9.3,24,1020.7,14,986.6,24,  5.5,24,  9.3,24, 15.0, 20.0,  24.1, ,   5.0, , 0.02,G,  7.1,001000
72539014836,2010-01-12,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  17.0,24,  11.8,24,1029.0,19,994.9,24,  9.1,24,  5.1,24,  9.9, 15.9,  24.8,*,   6.1,*, 0.04,G,  7.1,001000
72539014836,2010-01-13,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  26.1,24,  18.2,24,1022.4,21,990.2,24, 10.0,24, 12.1,24, 18.1, 24.1,  34.0, ,   8.1, , 0.00,G,  7.1,000000
72539014836,2010-01-14,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  32.5,24,  23.0,24,1017.2,23,984.6,24,  9.9,24, 10.4,24, 14.0,999.9,  39.9, ,  21.0, , 0.00,G,  5.9,000000
72539014836,2010-01-15,42.7761,-84.5997,261.8,"LANSING CAPITAL CITY AIRPORT, MI US",  34.1,24,  28.0,24,1022.2,24,989.4,24,  7.8,24,  6.1,24, 13.0,999.9,  39.9, ,  28.2, , 0.00,G,  3.9,010000
